CID	ACT_AN
60510	Inactive
9952220	Inactive
51576	Inactive
9928181	Inactive
24978536	Inactive
3033769	Inactive
56971	Inactive
6918029	Inactive
127150	Inactive
4205	Inactive
47528	Inactive
4235	Inactive
30627	Inactive
16124	Inactive
69588	Inactive
62960	Inactive
2843496	Inactive
4463	Inactive
5379	Inactive
118264	Inactive
4990	Inactive
176015	Inactive
33925	Inactive
12901	Inactive
159055	Inactive
6654	Inactive
5447130	Inactive
24812	Inactive
23668192	Inactive
11074431	Inactive
1030	Inactive
7628	Inactive
3054	Inactive
447043	Inactive
24502	Inactive
460612	Inactive
2767	Inactive
135398743	Inactive
5865	Inactive
444913	Inactive
6035	Inactive
444041	Inactive
8346	Inactive
64142	Inactive
20039	Inactive
931	Inactive
6212	Inactive
2724385	Inactive
2365	Inactive
5280965	Inactive
4684	Inactive
19266	Inactive
7239	Inactive
460	Inactive
9444	Inactive
3562	Inactive
1176	Inactive
5339	Inactive
2478	Inactive
3776	Inactive
338733	Inactive
24769	Inactive
1140	Inactive
753	Inactive
7582	Inactive
379	Inactive
263	Inactive
8197	Inactive
612	Inactive
6781	Inactive
6862	Inactive
3039	Inactive
1004	Inactive
10866	Inactive
5590	Inactive
10635	Inactive
5943	Inactive
10204	Inactive
3423265	Inactive
6421	Inactive
8816	Inactive
23665760	Inactive
4064	Inactive
9880	Inactive
8606	Inactive
23668196	Inactive
5280450	Inactive
978	Inactive
5280934	Inactive
8005	Inactive
8053	Inactive
7912	Inactive
3036	Inactive
7765	Inactive
656655	Inactive
4133	Inactive
6348	Inactive
3485	Inactive
8003	Inactive
445639	Inactive
441140	Inactive
667493	Inactive
370	Inactive
7108	Inactive
3121	Inactive
19188	Inactive
2155	Inactive
887	Inactive
227	Inactive
180	Inactive
17142	Inactive
1483	Inactive
3598	Inactive
7271	Inactive
6575	Inactive
3610	Inactive
4284	Inactive
3552	Inactive
7860	Inactive
8447	Inactive
54680782	Inactive
10850	Inactive
12332	Inactive
3037	Inactive
904	Inactive
7362	Inactive
2202	Inactive
1732	Inactive
14782	Inactive
196	Inactive
7452	Inactive
12358480	Inactive
967	Inactive
2950	Inactive
6374	Inactive
9015	Inactive
8400	Inactive
7416	Inactive
1549517	Inactive
5147	Inactive
12124	Inactive
5281034	Inactive
6597	Inactive
3314	Inactive
2662	Inactive
60934	Inactive
7338	Inactive
7703	Inactive
5054	Inactive
323	Inactive
637511	Inactive
3301	Inactive
8425	Inactive
5991	Inactive
5757	Inactive
41375	Inactive
7211	Inactive
22571	Inactive
5281	Inactive
6643	Inactive
712	Inactive
5565	Inactive
10255083	Inactive
643460	Inactive
5971	Inactive
8857	Inactive
5935	Inactive
2942	Inactive
244	Inactive
5284469	Inactive
8362	Inactive
122685	Inactive
22985	Inactive
108005	Inactive
20055509	Inactive
61444	Inactive
516919	Inactive
13266	Inactive
9280	Inactive
25150753	Inactive
6435801	Inactive
60910	Inactive
5280360	Inactive
107930	Inactive
60196272	Inactive
63009	Inactive
6291	Inactive
37768	Inactive
936	Inactive
7389	Inactive
71417	Inactive
51763	Inactive
73334	Inactive
5462653	Inactive
71587	Inactive
180559	Inactive
446727	Inactive
169743	Inactive
6852400	Inactive
60196273	Inactive
60196274	Inactive
854019	Inactive
60839	Inactive
5881	Inactive
23694217	Inactive
57004	Inactive
5983	Inactive
6917728	Inactive
68626	Inactive
18343	Inactive
6238	Inactive
441337	Inactive
11957572	Inactive
55305	Inactive
23704140	Inactive
11957593	Inactive
104762	Inactive
135242	Inactive
6433339	Inactive
21467	Inactive
6420042	Inactive
16219744	Inactive
441350	Inactive
3074827	Inactive
11957635	Inactive
5358907	Inactive
65341	Inactive
442291	Inactive
5281064	Inactive
135418296	Inactive
11957669	Inactive
9279	Inactive
7550	Inactive
66245	Inactive
22475	Inactive
71077	Inactive
9899402	Inactive
66007	Inactive
66069	Inactive
73093	Inactive
27944	Inactive
11647992	Inactive
167980	Inactive
115227	Inactive
6420041	Inactive
5216	Inactive
4685	Inactive
727	Inactive
6434889	Inactive
2075	Inactive
4767	Inactive
86287518	Inactive
3352	Inactive
1990	Inactive
33613	Inactive
1201549	Inactive
20933	Inactive
2723	Inactive
5959	Inactive
46224595	Inactive
3023	Inactive
21653	Inactive
65326	Inactive
12560	Inactive
13791	Inactive
102428	Inactive
2723635	Inactive
23702555	Inactive
6883	Inactive
11333	Inactive
6279	Inactive
23678596	Inactive
4511	Inactive
6230	Inactive
83823	Inactive
160157	Inactive
4753	Inactive
60196276	Inactive
5834	Inactive
135398735	Inactive
31307	Inactive
44134533	Inactive
1985	Inactive
9794197	Inactive
15376	Inactive
439174	Inactive
60196279	Inactive
3723	Inactive
2122	Inactive
442021	Inactive
92806	Inactive
3083802	Inactive
33254	Inactive
4059	Inactive
1984	Inactive
5143	Inactive
9818306	Inactive
92965	Inactive
656630	Inactive
70912	Inactive
2581	Inactive
44561	Inactive
25195407	Inactive
93095	Inactive
6780	Inactive
124886	Inactive
2345	Inactive
3092	Inactive
2149	Inactive
2741	Inactive
5763	Inactive
7027	Inactive
72139	Inactive
6136	Inactive
14520	Inactive
2799	Inactive
66377	Inactive
5284557	Inactive
161803	Inactive
6426773	Inactive
26133	Inactive
5641	Inactive
5453	Inactive
5424	Inactive
5334	Inactive
4842	Inactive
9941647	Inactive
5055	Inactive
23703990	Inactive
9578507	Inactive
5037	Inactive
5447	Inactive
5284537	Inactive
66061	Inactive
4747	Inactive
1269845	Inactive
3365	Inactive
73111	Inactive
6806	Inactive
66070	Inactive
5656	Inactive
123608	Inactive
51040	Inactive
15459	Inactive
5284534	Inactive
5090	Inactive
5311309	Inactive
3749	Inactive
