CID	ACT_AN
7469	Inactive
62477	Inactive
15074	Inactive
24883	Inactive
2537	Inactive
8037	Inactive
5281116	Inactive
74348	Inactive
643991	Inactive
115089	Inactive
18604	Inactive
12124	Inactive
24314	Inactive
7101	Inactive
24937	Inactive
6233	Inactive
30623	Inactive
16990	Inactive
11387	Inactive
7526	Inactive
13931	Inactive
7671	Inactive
307	Inactive
7765	Inactive
61527	Inactive
7835	Inactive
14090	Inactive
7918	Inactive
7950	Inactive
8004	Inactive
8031	Inactive
8061	Inactive
14223	Inactive
8147	Inactive
7494	Inactive
8374	Inactive
8394	Inactive
7929	Inactive
26132	Inactive
8855	Inactive
27054	Inactive
7515	Inactive
15660	Inactive
62725	Inactive
16180	Inactive
30231	Inactive
4485	Inactive
17111	Inactive
9280	Inactive
20138	Inactive
6028739	Inactive
78392	Inactive
21058	Inactive
5758	Inactive
5784	Inactive
5817	Inactive
10721	Inactive
447	Inactive
230976	Inactive
19266	Inactive
11245	Inactive
11560	Inactive
11584	Inactive
11673	Inactive
11750	Inactive
11875	Inactive
11910	Inactive
12018	Inactive
12091	Inactive
6115	Inactive
12302	Inactive
12364	Inactive
12512	Inactive
5356785	Inactive
106729	Inactive
5329	Inactive
6332	Inactive
6358	Inactive
6403	Inactive
61207	Inactive
13032	Inactive
6534	Inactive
6564	Inactive
6570	Inactive
6588	Inactive
398	Inactive
6637	Inactive
6658	Inactive
157882	Inactive
6894	Inactive
6974	Inactive
6996	Inactive
7046	Inactive
7236	Inactive
7250	Inactive
7262	Inactive
7280	Inactive
7301	Inactive
7374	Inactive
7423	Inactive
7441	Inactive
7838	Inactive
11659	Inactive
91604	Inactive
6428	Inactive
2879	Inactive
6563	Inactive
7923	Inactive
1091	Inactive
11733	Inactive
8496	Inactive
3024	Inactive
16760658	Inactive
6942	Inactive
8146	Inactive
31261	Inactive
7453	Inactive
3305	Inactive
8148	Inactive
11666	Inactive
7622	Inactive
6277	Inactive
6417	Inactive
6517	Inactive
6788	Inactive
6935	Inactive
7027	Inactive
64947	Inactive
7412	Inactive
7568	Inactive
7735	Inactive
7764	Inactive
7868	Inactive
7910	Inactive
8110	Inactive
8155	Inactive
8265	Inactive
8472	Inactive
8946	Inactive
10401	Inactive
11040	Inactive
69027	Inactive
12053	Inactive
12374	Inactive
15122	Inactive
70324	Inactive
14456	Inactive
15290	Inactive
6327116	Inactive
23675796	Inactive
78501	Inactive
22932	Inactive
23368	Inactive
159747	Inactive
9568808	Inactive
94483	Inactive
7892	Inactive
67151	Inactive
12160	Inactive
13602	Inactive
15348	Inactive
75498	Inactive
18062	Inactive
7198	Inactive
2723856	Inactive
82029	Inactive
117915	Inactive
516872	Inactive
77080	Inactive
1118	Inactive
24648	Inactive
22833454	Inactive
174174	Inactive
5284346	Inactive
7302	Inactive
10133	Inactive
6209	Inactive
14500	Inactive
6673	Inactive
3081	Inactive
522325	Inactive
14075	Inactive
77342	Inactive
5922	Inactive
7955	Inactive
7409	Inactive
4763	Inactive
6956	Inactive
5284451	Inactive
656582	Inactive
54704426	Inactive
88898	Inactive
4343483	Inactive
12867	Inactive
13203	Inactive
67299	Inactive
11701	Inactive
12681	Inactive
7420	Inactive
12244	Inactive
12046	Inactive
11262	Inactive
10457	Inactive
74563	Inactive
999	Inactive
867	Inactive
61144	Inactive
8186	Inactive
8348	Inactive
73851	Inactive
87250	Inactive
16211115	Inactive
16211135	Inactive
13065	Inactive
2724552	Inactive
