CID	ACT_AN
7015	Inactive
1049	Inactive
7329	Inactive
7172	Inactive
8210	Inactive
9809	Inactive
37542	Inactive
81133	Inactive
7805	Inactive
18728	Inactive
31275	Inactive
2720	Inactive
17570	Inactive
123504	Inactive
11888	Inactive
7859	Inactive
17305	Inactive
4992	Inactive
11288	Inactive
7056	Inactive
8097	Inactive
8053	Inactive
7847	Inactive
7578	Inactive
2950	Inactive
10635	Inactive
15513	Inactive
2723951	Inactive
21208	Inactive
8569	Inactive
6537489	Inactive
33919	Inactive
23684896	Inactive
12120	Inactive
31370	Inactive
7042	Inactive
7294	Inactive
11247	Inactive
7346	Inactive
7203	Inactive
8127	Inactive
638015	Inactive
444041	Inactive
3356745	Inactive
8428	Inactive
7563	Inactive
2942	Inactive
447043	Inactive
17946	Inactive
6371716	Inactive
62158	Inactive
82916	Inactive
22574	Inactive
232446	Inactive
65340	Inactive
12332	Inactive
11087	Inactive
8883	Inactive
1174	Inactive
11159638	Inactive
7259	Inactive
8028	Inactive
8474	Inactive
31263	Inactive
8180	Inactive
439280	Inactive
98356	Inactive
10928	Inactive
5328	Inactive
10898	Inactive
8909	Inactive
69317	Inactive
2758874	Inactive
6787	Inactive
113124	Inactive
23741	Inactive
165675	Inactive
7385	Inactive
24436	Inactive
80428	Inactive
7265	Inactive
13195	Inactive
8480	Inactive
74189	Inactive
23685849	Inactive
31272	Inactive
7751	Inactive
10008	Inactive
5281764	Inactive
6912	Inactive
9147	Inactive
11011	Inactive
7508	Inactive
12228	Inactive
11731903	Inactive
86583	Inactive
12471	Inactive
7500	Inactive
62430	Inactive
5565	Inactive
23669624	Inactive
15533	Inactive
7319	Inactive
6420	Inactive
527	Inactive
10387	Inactive
6395	Inactive
25150753	Inactive
7303	Inactive
8981	Inactive
12035	Inactive
34757	Inactive
95416	Inactive
7731	Inactive
80642	Inactive
11048104	Inactive
25213	Inactive
12574	Inactive
7798	Inactive
8078	Inactive
11906	Inactive
10567	Inactive
7470	Inactive
6568	Inactive
31404	Inactive
8495	Inactive
2723822	Inactive
25914	Inactive
10438	Inactive
10168	Inactive
33133	Inactive
16069365	Inactive
18603	Inactive
7525	Inactive
967	Inactive
11424880	Inactive
181978	Inactive
6276	Inactive
7909	Inactive
12418	Inactive
5953	Inactive
54675810	Inactive
517058	Inactive
7809	Inactive
300	Inactive
15458	Inactive
8717	Inactive
11509	Inactive
3083585	Inactive
20039	Inactive
14357	Inactive
38764	Inactive
11604	Inactive
6502	Inactive
135436526	Inactive
10907	Inactive
7673	Inactive
24116	Inactive
16907	Inactive
5827	Inactive
6650	Inactive
23689980	Inactive
8667	Inactive
7854	Inactive
460	Inactive
5375199	Inactive
701	Inactive
91555	Inactive
8881	Inactive
6419	Inactive
10226	Inactive
18273	Inactive
62553	Inactive
11927	Inactive
7638	Inactive
23565	Inactive
66172	Inactive
5284452	Inactive
637930	Inactive
9246	Inactive
61247	Inactive
5365552	Inactive
73668	Inactive
7908	Inactive
2756	Inactive
62648	Inactive
12111	Inactive
656655	Inactive
5280863	Inactive
10949	Inactive
10316	Inactive
6348	Inactive
70038	Inactive
6364	Inactive
385	Inactive
135464373	Inactive
24433	Inactive
19871	Inactive
8082	Inactive
82728	Inactive
11674	Inactive
7922	Inactive
6618	Inactive
